"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","dangerous_goods_storage_type","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0BMF6VST8","X003IDW07X","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, Towels, Hats, Matte Black","'ABQ1'","US","17.48","4.29","3.7","inches","1.32","pounds","0.1606","cubic feet","Standard-Size","14.13","0.0","2.2687","2025-10","8.2","weeks","2.4","0.0","4.29","0.6889","5.4408","0.0","USD","5.4408","--","N","N","0.0","--","0.0"
"B0D4MCXCC6","X0048XOI7H","KEOAMG Over The Door Hooks, Over The Door Towel Rack for Bathroom, Sturdy Door Hanger Hook, Door Hooks for Hanging Clothes, Coats, Towels, White","'ABQ1'","US","17.32","4.37","3.54","inches","1.3","pounds","0.1551","cubic feet","Standard-Size","7.87","0.0","1.2204","2025-10","8.2","weeks","2.4","0.0","0.03","0.005","2.9291","0.0","USD","2.9291","--","N","N","0.0","--","0.0"
"B0DHQ8QGQG","X004EJ051D","KEOAMG Tie Rack Hanger for Closet, Sleek Tie Hangers for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Black)","'ABQ1'","US","13.43","4.49","0.71","inches","0.35","pounds","0.0248","cubic feet","Standard-Size","6.0","0.0","0.1487","2025-10","8.2","weeks","2.4","0.0","6.0","0.1487","0.3568","0.0","USD","0.3568","--","N","N","0.0","--","0.0"
"B0DHL54ZV4","X004EJ05W7","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)","'ABQ1'","US","13.43","4.06","0.59","inches","0.29","pounds","0.0186","cubic feet","Standard-Size","5.0","0.0","0.0931","2025-10","8.2","weeks","2.4","0.0","5.0","0.0931","0.2234","0.0","USD","0.2234","--","N","N","0.0","--","0.0"
"B0BMF6VST8","X003IDW07X","KEOAMG Over The Door Hooks, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over Door Hanger Door Hooks for Hanging Clothes, Towels, Hats, Matte Black","'ACY1'","US","17.48","4.29","3.7","inches","1.32","pounds","0.1606","cubic feet","Standard-Size","0.16","0.0","0.0259","2025-10","8.2","weeks","2.4","0.0","0.0","0.0","0.0622","0.0","USD","0.0622","--","N","N","0.0","--","0.0"
"B0C538JL1X","X003TKCFCF","KEOAMG 2Pack Foldable Over The Door Hanger, No Assembly Required Door Hanger Hook, Sturdy Over The Door Coat Rack, Over The Door Hooks for Hanging Clothes, Towels, Hats, Matte Black","'ACY1'","US","17.52","4.49","3.94","inches","2.38","pounds","0.1794","cubic feet","Standard-Size","2.77","0.0","0.4918","2025-10","8.2","weeks","2.4","0.0","2.74","0.4918","1.1791","0.0","USD","1.1791","--","N","N","0.0","--","0.03"
"B0DHL54ZV4","X004EJ05W7","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)","'ACY1'","US","13.43","4.06","0.59","inches","0.29","pounds","0.0186","cubic feet","Standard-Size","0.03","0.0","6.0E-4","2025-10","8.2","weeks","2.4","0.0","0.03","6.0E-4","0.0014","0.0","USD","0.0014","--","N","N","0.0","--","0.0"
"B0FDFSKK4L","X004Q4DZLX","KEOAMG 2Pack Tie Rack Hanger for Closet, Sleek Tie Organizer for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder, Tie and Belt Hanger for Closet (Mahogany)","'ACY1'","US","13.58","6.38","0.75","inches","0.75","pounds","0.0376","cubic feet","Standard-Size","0.97","0.0","0.0364","2025-10","8.2","weeks","2.4","0.0","0.97","0.0364","0.0873","0.0","USD","0.0873","--","N","N","0.0","--","0.0"
"B0DHQ8QGQG","X004EJ051D","KEOAMG Tie Rack Hanger for Closet, Sleek Tie Hangers for Men with 18 Upgraded Folding Hooks, Space-Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Black)","'AFW1'","US","13.43","4.49","0.71","inches","0.35","pounds","0.0248","cubic feet","Standard-Size","1.0","0.0","0.0248","2025-10","8.2","weeks","2.4","0.0","1.0","0.0248","0.0597","0.0","USD","0.0597","--","N","N","0.0","--","0.0"
"B0DHL54ZV4","X004EJ05W7","KEOAMG Tie Rack Hanger for Closet, Upgraded Tie Hangers for Men with 18 Folding Hooks, Space Saving Tie Holder Neck Tie Organizer for Men Ties, Belts, Bras, Scarves, Tank Tops (Mahogany)","'AFW1'","US","13.43","4.06","0.59","inches","0.29","pounds","0.0186","cubic feet","Standard-Size","22.32","0.0","0.415","2025-10","8.2","weeks","2.4","0.0","22.29","0.415","1.0003","0.0","USD","1.0003","--","N","N","0.0","--","0.03"
